Machine learning,"Each time each type of sort button is clicked, changes from Ascending to Descending",,your search,Button to Reset to original ordering,Order by your notes,"Authors, year, editor", Button - use to order by YEAR,First author,Title,text, Link 1, Link 2,," dois, after using crossref button"
Natural language processing,PDF and IExplorer Issues:,,Machine learning,1,,TM Mitchell - 1997 - carabinier.gov.md,1997,Mitchell,Machine learning,"This exciting addition to the McGraw-Hill Series in Computer Science focuses on the 
concepts and techniques that contribute to the rapidly changing field of machine learning--
including probability and statistics, artificial intelligence, and neural networks--unifying them …",,https://carabinier.gov.md/sites/default/files/webform/pdf-machine-learning-tom-m-mitchell-pdf-download-free-book-8b9665f.pdf,,
,https://www.itsupportguides.com/windows-7/adobe-pdfs-wont-open-in-internet-explorer/,,Machine learning,2,,"I Goodfellow, Y Bengio, A Courville - Deep learning, 2016 - deeplearningbook.org",2016,"Goodfellow,",Machine learning basics,"Page 1. Machine Learning Basics Lecture slides for Chapter 5 of Deep Learning
 www.deeplearningbook.org Ian Goodfellow 2016-09-26 Page 2. (Goodfellow 2016) Linear
 Regression -1.0 -0.5 0.0 0.5 1.0 x1 -3 -2 -1 0 1 2 3 y Linear regression example 0.5 1.0 1.5 w1 …",,https://www.deeplearningbook.org/slides/05_ml.pdf,,
,https://helpx.adobe.com/acrobat/kb/epm-support-acrobat-products.html,,Machine learning,3,,"JW Shavlik, T Dietterich, TG Dietterich - 1990 - books.google.com",1990,"Shavlik,",Readings in machine learning,"The ability to learn is a fundamental characteristic of intelligent behavior. Consequently, 
machine learning has been a focus of artificial intelligence since the beginnings of AI in the 
1950s. The 1980s saw tremendous growth in the field, and this growth promises to continue …",,https://books.google.com/books?hl=en&lr=&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=Machine+learning&ots=ThgifjaKq9&sig=7GrmSsegsfC0rJXMzF0zbO7xnp4,,
,,,Machine learning,4,,"MI Jordan, TM Mitchell - Science, 2015 - science.sciencemag.org",2015,"Jordan,","Machine learning: Trends, perspectives, and prospects","Machine learning addresses the question of how to build computers that improve 
automatically through experience. It is one of today's most rapidly growing technical fields, 
lying at the intersection of computer science and statistics, and at the core of artificial …",https://cs.uwaterloo.ca/~y328yu/mycourses/480-2018/readings/JordanMitchell.pdf,https://science.sciencemag.org/content/349/6245/255.abstract,,
,,,Machine learning,5,,"S Sra, S Nowozin, SJ Wright - 2012 - books.google.com",2012,"Sra,",Optimization for machine learning,"An up-to-date account of the interplay between optimization and machine learning, 
accessible to students and researchers in both communities. The interplay between 
optimization and machine learning is one of the most important developments in modern …",http://optml.mit.edu/teach/6881/lect4.pdf,https://books.google.com/books?hl=en&lr=&id=JPQx7s2L1A8C&oi=fnd&pg=PR5&dq=Machine+learning&ots=vedbvjpbFf&sig=679P_BbecoaKVfilAvY-J1Qq5dM,,
,,,Machine learning,6,,"C Sammut, GI Webb - 2011 - books.google.com",2011,"Sammut,",Encyclopedia of machine learning,"This comprehensive encyclopedia, with over 250 entries in an AZ format, provides easy 
access to relevant information for those seeking entry into any aspect within the broad field 
of machine learning. Most entries in this preeminent work include useful literature …",,https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PT29&dq=Machine+learning&ots=91jcxwkGaP&sig=M9b8aT_tY-x-3vy4qh1Ck73DPvQ,,
,https://gen.lib.rus.ec,,Machine learning,7,,"M Mohri, A Rostamizadeh, A Talwalkar - 2018 - books.google.com",2018,"Mohri,",Foundations of machine learning,"A new edition of a graduate-level machine learning textbook that focuses on the analysis 
and theory of algorithms. This book is a general introduction to machine learning that can 
serve as a textbook for graduate students and a reference for researchers. It covers …",,https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=Machine+learning&ots=AyoUUUy4n4&sig=D00sn24Cpnd5ZTdbCIOjA1g2Nkw,,
,Search dois in crossref (wait 1.5 seconds per ref),"0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190",Machine learning,8,,"XD Zhang - A Matrix Algebra Approach to Artificial Intelligence, 2020 - Springer",2020,Zhang,Machine learning,"Abstract Machine learning is a subset of artificial intelligence. This chapter presents first a 
machine learning tree, and then focuses on the matrix algebra methods in machine learning 
including single-objective optimization, feature selection, principal component analysis, and …",https://link.aps.org/pdf/10.1103/PhysRevD.97.056009,https://link.springer.com/chapter/10.1007/978-981-15-2770-8_6,,
,"Use dois to get .bib refs,",0,Machine learning,9,,P Langley - 1996 - books.google.com,1996,Langley,Elements of machine learning,"Recent years have seen an explosion of work on machine learning, the computational study 
of algorithms that improve performance based on experience. Research on rule induction, 
neural networks, genetic algorithms, case-based reasoning, and probabilistic inference has …",,https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PP11&dq=Machine+learning&ots=Q4lrXwx0Nq&sig=6dT6z2qYH0qcfaxRQL7mOHk-69Y,,
,as in:,10,Machine learning,10,,"S Athey - The economics of artificial intelligence: An agenda, 2018 - nber.org",2018,Athey,The impact of machine learning on economics,"This paper provides an assessment of the early contributions of machine learning to 
economics, as well as predictions about its future contributions. It begins by briefly 
overviewing some themes from the literature on machine learning, and then draws some …",https://www.nber.org/system/files/chapters/c14009/c14009.pdf,https://www.nber.org/system/files/chapters/c14009/c14009.pdf,,
